Term,Overlap,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Odds.Ratio,Combined.Score,Genes,database,module,overlap.n
"positive regulation of CD4-positive, alpha-beta T cell activation (GO:2000516)",3/13,0.0105705315922724,0.0964160608870903,0,0,7.9364010989011,36.1081265242118,HLA-DRA;PRKCQ;HLA-DRB1,GO_BP,blue,3
apoptotic process (GO:0006915),16/231,0.0110936629467364,0.10084809705607,0,0,1.98317775248008,8.92703912939339,GZMA;ITGB2;PRF1;CXCR4;GZMB;FASLG;HK2;GZMH;CD2;CASP8;CASP5;IFNG;CASP1;PDCD4;BMF;NLRP1,GO_BP,blue,16
negative regulation of inflammatory response to antigenic stimulus (GO:0002862),11/136,0.0113046003695463,0.102421947829769,0,0,2.33982222222222,10.4883596286219,CYSLTR1;HTR7;SYK;ADM2;CD3G;TREM2;FYN;CD247;INSL3;HLA-DRB1;PTGDR,GO_BP,blue,11
negative regulation of inflammatory response (GO:0050728),15/212,0.0114020964683058,0.102960931108801,0,0,2.02818818591725,9.07402884053231,SYK;CD3G;TREM2;NLRC3;AOAH;CD200R1;CYSLTR1;HTR7;ADM2;SLAMF8;FYN;CD247;INSL3;HLA-DRB1;PTGDR,GO_BP,blue,15
positive regulation of protein localization to membrane (GO:1905477),9/101,0.0116529503297036,0.104278886435473,0,0,2.59835300493797,11.5683765533669,PRKCH;CASP8;IFNG;ITGB2;GZMB;TREM2;FYN;AKAP5;SLC5A3,GO_BP,blue,9
lymphocyte proliferation (GO:0046651),5/38,0.0118992761542225,0.104278886435473,0,0,4.0145254194841,17.7894769999245,CD40LG;PTPRC;FLT3;MS4A1;PIK3CG,GO_BP,blue,5
positive regulation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0043280),10/119,0.0119472794858661,0.104278886435473,0,0,2.43800022903969,10.7936406210935,CASP8;CASP5;SYK;TNFSF15;LCK;CASP1;FASLG;NLRP1;ST18;MAP3K5,GO_BP,blue,10
receptor signaling pathway via STAT (GO:0097696),4/25,0.0121459943684023,0.104278886435473,0,0,5.04303399489094,22.2435916703335,IFNG;STAT1;STAT2;CCR2,GO_BP,blue,4
positive regulation of MAP kinase activity (GO:0043406),7/69,0.012843049127984,0.107714613274639,0,0,2.99521030119408,13.0439987026854,EDN1;TGFB1;FLT3;S100A12;ADAM8;PIK3CG;MAP3K5,GO_BP,blue,7
regulation of macrophage cytokine production (GO:0010935),3/14,0.0130930067006232,0.107808374322153,0,0,7.21453546453547,31.2798957026705,CD74;TGFB1;LILRB1,GO_BP,blue,3
response to chemokine (GO:1990868),3/14,0.0130930067006232,0.107808374322153,0,0,7.21453546453547,31.2798957026705,RIPOR2;CXCL12;DOCK8,GO_BP,blue,3
immune response-regulating cell surface receptor signaling pathway (GO:0002768),3/14,0.0130930067006232,0.107808374322153,0,0,7.21453546453547,31.2798957026705,NCR3;BTLA;LILRB1,GO_BP,blue,3
T cell differentiation in thymus (GO:0033077),3/14,0.0130930067006232,0.107808374322153,0,0,7.21453546453547,31.2798957026705,PTPRC;RIPK3;CCR6,GO_BP,blue,3
positive regulation of superoxide anion generation (GO:0032930),3/14,0.0130930067006232,0.107808374322153,0,0,7.21453546453547,31.2798957026705,TGFB1;SYK;ITGB2,GO_BP,blue,3
positive regulation of T cell chemotaxis (GO:0010820),3/14,0.0130930067006232,0.107808374322153,0,0,7.21453546453547,31.2798957026705,XCL2;CXCL13;CCR2,GO_BP,blue,3
regulation of viral entry into host cell (GO:0046596),5/39,0.0132490666297755,0.10876279242443,0,0,3.89624858207746,16.8467093845624,FCN1;CD74;CIITA;CD4;HLA-DRB1,GO_BP,blue,5
positive regulation of leukocyte chemotaxis (GO:0002690),6/54,0.0135974627254069,0.11128557861972,0,0,3.31396551724138,14.2429998307136,CSF1R;CXCL10;CXCL12;CCR6;PLA2G7;CCR2,GO_BP,blue,6
negative regulation of viral process (GO:0048525),7/70,0.013834125206614,0.112881461399751,0,0,2.9475138121547,12.6171774319883,FAM111A;RNASEL;APOBEC3G;APOBEC3H;STAT1;ZC3HAV1;SHFL,GO_BP,blue,7
negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage (GO:1902230),4/26,0.0139481723712956,0.113130535789939,0,0,4.81355508315618,20.5654654314627,CD74;CXCL12;CLU;CD44,GO_BP,blue,4
positive regulation of interleukin-2 production (GO:0032743),4/26,0.0139481723712956,0.113130535789939,0,0,4.81355508315618,20.5654654314627,CD4;PTPRC;CARD11;CCR2,GO_BP,blue,4
cellular response to lipid (GO:0071396),15/219,0.0149761433828314,0.121105589325643,0,0,1.95787463029905,8.2256123899407,MAP4K1;CX3CR1;CXCL9;GFI1;LILRB1;CXCL13;NUGGC;CXCL10;CXCL11;AXL;CASP1;PDCD4;STAP1;CARD16;CCR5,GO_BP,blue,15
positive regulation of protein serine/threonine kinase activity (GO:0071902),9/106,0.0156300829208979,0.125074922040467,0,0,2.46377473798441,10.2457497263334,CSF1R;TCL1A;EDN1;TGFB1;IFNG;FLT3;S100A12;ADAM8;PIK3CG,GO_BP,blue,9
positive regulation of calcium ion transmembrane transport (GO:1904427),4/27,0.0159112676468298,0.125074922040467,0,0,4.60403085939836,19.0640384044491,CXCL10;CXCL9;CXCL11;CD19,GO_BP,blue,4
positive regulation of nitric oxide biosynthetic process (GO:0045429),4/27,0.0159112676468298,0.125074922040467,0,0,4.60403085939836,19.0640384044491,EDN1;P2RX4;IFNG;CLU,GO_BP,blue,4
cellular response to ATP (GO:0071318),3/15,0.0159286999276342,0.125074922040467,0,0,6.61298076923077,27.37531189945,P2RX7;P2RX4;RYR3,GO_BP,blue,3
regulation of superoxide anion generation (GO:0032928),3/15,0.0159286999276342,0.125074922040467,0,0,6.61298076923077,27.37531189945,TGFB1;SYK;ITGB2,GO_BP,blue,3
negative regulation of leukocyte activation (GO:0002695),3/15,0.0159286999276342,0.125074922040467,0,0,6.61298076923077,27.37531189945,CD84;CD300A;CD300LF,GO_BP,blue,3
negative regulation of single stranded viral RNA replication via double stranded DNA intermediate (GO:0045869),3/15,0.0159286999276342,0.125074922040467,0,0,6.61298076923077,27.37531189945,APOBEC3D;APOBEC3G;APOBEC3H,GO_BP,blue,3
positive regulation of cell killing (GO:0031343),3/15,0.0159286999276342,0.125074922040467,0,0,6.61298076923077,27.37531189945,SYK;IFNG;PRF1,GO_BP,blue,3
positive regulation of heterotypic cell-cell adhesion (GO:0034116),3/15,0.0159286999276342,0.125074922040467,0,0,6.61298076923077,27.37531189945,LCK;CD44;SKAP1,GO_BP,blue,3
prostanoid biosynthetic process (GO:0046457),3/15,0.0159286999276342,0.125074922040467,0,0,6.61298076923077,27.37531189945,CD74;EDN1;PTGES,GO_BP,blue,3
positive regulation of inflammatory response (GO:0050729),8/89,0.016107286319429,0.126111672368015,0,0,2.6211771937913,10.8214869077098,ZBP1;IFNG;PDCD4;S100A12;ADAM8;TLR7;PLA2G7;CCR2,GO_BP,blue,8
regulation of Rho protein signal transduction (GO:0035023),7/73,0.0171342881212356,0.13320892019766,0,0,2.81309643395279,11.4399451986244,GPR174;RIPOR2;P2RY10;GPR65;ARHGDIB;GPR55;GPR18,GO_BP,blue,7
regulation of chemokine production (GO:0032642),5/42,0.0179072589098399,0.13320892019766,0,0,3.57977812523267,14.3998333569341,CSF1R;CD74;IFNG;TREM2;TLR7,GO_BP,blue,5
receptor clustering (GO:0043113),4/28,0.0180393637912908,0.13320892019766,0,0,4.41196698762036,17.7149255758254,ITGA4;ITGB2;ITGB7;ITGAL,GO_BP,blue,4
response to interferon-beta (GO:0035456),4/28,0.0180393637912908,0.13320892019766,0,0,4.41196698762036,17.7149255758254,AIM2;STAT1;PYHIN1;SHFL,GO_BP,blue,4
positive regulation of nitric oxide metabolic process (GO:1904407),4/28,0.0180393637912908,0.13320892019766,0,0,4.41196698762036,17.7149255758254,EDN1;P2RX4;IFNG;CLU,GO_BP,blue,4
positive regulation of programmed cell death (GO:0043068),18/286,0.0182455281533786,0.133586853425683,0,0,1.78988298339997,7.16639660320104,ZBP1;RARG;TNFAIP8;SYK;GZMA;PRF1;LILRB1;FASLG;CLU;CASP8;IFNG;UBD;CTLA4;ARHGEF1;BMF;PLEKHN1;ATG7;MAP3K5,GO_BP,blue,18
aromatic amino acid family catabolic process (GO:0009074),3/16,0.0190814668313055,0.136750512291023,0,0,6.1039729501268,24.1658592610752,IL4I1;HAAO;IDO2,GO_BP,blue,3
regulation of amyloid-beta clearance (GO:1900221),3/16,0.0190814668313055,0.136750512291023,0,0,6.1039729501268,24.1658592610752,IFNG;TREM2;CLU,GO_BP,blue,3
B cell activation involved in immune response (GO:0002312),3/16,0.0190814668313055,0.136750512291023,0,0,6.1039729501268,24.1658592610752,CD40LG;CD19;GAPT,GO_BP,blue,3
regulation of monocyte differentiation (GO:0045655),3/16,0.0190814668313055,0.136750512291023,0,0,6.1039729501268,24.1658592610752,CD74;CD4;HLA-DRB1,GO_BP,blue,3
epiboly involved in wound healing (GO:0090505),3/16,0.0190814668313055,0.136750512291023,0,0,6.1039729501268,24.1658592610752,CARMIL2;LCP1;CD44,GO_BP,blue,3
response to organophosphorus (GO:0046683),3/16,0.0190814668313055,0.136750512291023,0,0,6.1039729501268,24.1658592610752,P2RX7;P2RX4;STAT1,GO_BP,blue,3
negative regulation of immune effector process (GO:0002698),3/16,0.0190814668313055,0.136750512291023,0,0,6.1039729501268,24.1658592610752,CD300A;SLAMF8;LILRB1,GO_BP,blue,3
negative regulation of natural killer cell mediated cytotoxicity (GO:0045953),3/16,0.0190814668313055,0.136750512291023,0,0,6.1039729501268,24.1658592610752,HLA-B;LILRB1;KLRC1,GO_BP,blue,3
response to tumor necrosis factor (GO:0034612),9/110,0.0194666196584682,0.139142671912375,0,0,2.36570582265983,9.31864320269191,IKBKB;CCL24;TCL1A;CASP8;CCL22;UBD;XCL2;CCL17;CXCL16,GO_BP,blue,9
integrin-mediated signaling pathway (GO:0007229),7/75,0.0196208425847651,0.139873215246422,0,0,2.73007393565161,10.7323653170454,FYB1;CD40LG;SYK;TXK;ITGB2;ITGB7;LAT,GO_BP,blue,7
lipid modification (GO:0030258),5/43,0.0196720911808367,0.139873215246422,0,0,3.48539219950703,13.6925526485676,PLPP5;DGKA;PLPPR4;MBOAT1;PLA2G7,GO_BP,blue,5
regulation of protein kinase B signaling (GO:0051896),14/207,0.0202169916272608,0.142640229175297,0,0,1.92991812459803,7.52905807196594,CX3CR1;TGFB1;FLT3;TRAT1;PIK3CD;PIK3CG;P2RX4;AXL;LCK;CD19;RAC2;ADAM8;FYN;ICOS,GO_BP,blue,14
regulation of actin polymerization or depolymerization (GO:0008064),4/29,0.0203360717681732,0.142640229175297,0,0,4.23526822558459,16.4978903499659,FCHSD1;CXCL12;SH3BP1;CTTN,GO_BP,blue,4
regulation of response to biotic stimulus (GO:0002831),4/29,0.0203360717681732,0.142640229175297,0,0,4.23526822558459,16.4978903499659,CASP8;DHX58;PTPN22;TREM2,GO_BP,blue,4
negative regulation of interferon-gamma production (GO:0032689),4/29,0.0203360717681732,0.142640229175297,0,0,4.23526822558459,16.4978903499659,AXL;LILRB1;FOXP3;HLA-DRB1,GO_BP,blue,4
protein ADP-ribosylation (GO:0006471),4/29,0.0203360717681732,0.142640229175297,0,0,4.23526822558459,16.4978903499659,ZC3HAV1;PARP15;PARP12;PARP8,GO_BP,blue,4
negative regulation of autophagy (GO:0010507),6/59,0.0203771755964709,0.142640229175297,0,0,3.00054651919323,11.6821473283965,DAPL1;IL10RA;PTPN22;TREM2;BMF;ATG7,GO_BP,blue,6
neutrophil activation involved in immune response (GO:0002283),27/485,0.0204920218252955,0.143074451352385,0,0,1.57520655518063,6.12396147398453,ARHGAP9;FCN1;ITGB2;ITGAL;STK10;ADGRE5;CLEC5A;ITGAX;TBC1D10C;S100A12;ATG7;SYK;CD300A;ATP6AP2;HLA-B;IRAG2;LYZ;ARHGAP45;CHIT1;PFKL;PTPRC;RAP2B;BIN2;ADAM8;PTPN6;DOCK2;CD44,GO_BP,blue,27
positive regulation of cell migration (GO:0030335),17/269,0.0206186138175269,0.143588238641852,0,0,1.79676870748299,6.97426739093157,LRRC15;CCL24;CSF1R;CARMIL2;EDN1;TGFB1;TNFRSF18;PIK3CD;CXCL16;SHTN1;SYDE1;CXCL12;PTPRC;IFNG;ITGAX;INSL3;CCR2,GO_BP,blue,17
positive regulation of phosphatidylinositol 3-kinase signaling (GO:0014068),7/77,0.022348996337535,0.155068732813341,0,0,2.6517955801105,10.079405696725,FLT3;PIK3CD;TREM2;PTPN6;WNT16;HCST;PIK3CG,GO_BP,blue,7
regulation of leukocyte migration (GO:0002685),3/17,0.022553370516226,0.155068732813341,0,0,5.66768053375196,21.4911120682101,TNFRSF18;RAC2;RHOH,GO_BP,blue,3
regulation of NLRP3 inflammasome complex assembly (GO:1900225),3/17,0.022553370516226,0.155068732813341,0,0,5.66768053375196,21.4911120682101,GBP5;NLRC3;TREM2,GO_BP,blue,3
response to purine-containing compound (GO:0014074),3/17,0.022553370516226,0.155068732813341,0,0,5.66768053375196,21.4911120682101,P2RX7;P2RX4;STAT1,GO_BP,blue,3
negative regulation of interleukin-10 production (GO:0032693),3/17,0.022553370516226,0.155068732813341,0,0,5.66768053375196,21.4911120682101,LILRB1;FOXP3;JAK3,GO_BP,blue,3
cell projection organization (GO:0030030),4/30,0.0228045318345672,0.15561077264444,0,0,4.07216167601312,15.3960125682818,PARVG;RAC2;RHOH;CAPG,GO_BP,blue,4
regulation of type I interferon-mediated signaling pathway (GO:0060338),4/30,0.0228045318345672,0.15561077264444,0,0,4.07216167601312,15.3960125682818,ZBP1;RNASEL;STAT2;PTPN6,GO_BP,blue,4
positive regulation of B cell proliferation (GO:0030890),4/30,0.0228045318345672,0.15561077264444,0,0,4.07216167601312,15.3960125682818,CD74;PTPRC;FCRL3;TNFSF13B,GO_BP,blue,4
regulation of apoptotic process (GO:0042981),38/742,0.0232676071780445,0.158371728254579,0,0,1.44601452840089,5.43801691089721,RARG;FCMR;TNFAIP8;FLT3;FASLG;CD3E;CLU;IKZF3;NUGGC;IKBKB;TCL1A;CASP8;UBD;CLEC5A;RPS6KA1;CASP1;CTLA4;BMF;PLEKHN1;SKP2;ATG7;JAK3;MAP3K5;ZBP1;CD74;RIPK3;STAT1;GZMA;LILRB1;CXCL10;CD40LG;AXL;IL2RB;CD27;PTPN6;ARHGEF1;EVI2B;CD44,GO_BP,blue,38
positive regulation of I-kappaB kinase/NF-kappaB signaling (GO:0043123),12/171,0.0234252563618517,0.159045161614677,0,0,2.00593066890598,7.53014439218979,IKBKB;CD74;CD4;CASP8;PRKCB;UBD;CASP1;S100A12;FASLG;CARD16;CARD11;HLA-DRB1,GO_BP,blue,12
positive regulation of response to biotic stimulus (GO:0002833),5/45,0.023534671159851,0.159388560430091,0,0,3.3107782369146,12.413036537142,GBP5;DHX58;SH2D1B;TLR8;ADAM8,GO_BP,blue,5
phosphate-containing compound metabolic process (GO:0006796),14/212,0.0242342313193434,0.159534784553285,0,0,1.88068974261443,6.99614539562632,CERKL;PLA2G2D;TGFB1;PLPPR4;PLD4;PIK3CD;PLB1;HK2;PIK3CG;PFKL;PTPRC;INPP5D;HKDC1;PLCH2,GO_BP,blue,14
positive regulation of peptidyl-tyrosine phosphorylation (GO:0050731),10/134,0.0253316566860656,0.161824072990464,0,0,2.14140306921391,7.8711561459067,CSF1R;CD74;TGFB1;PTPRC;IFNG;FLT3;TNFRSF18;TNFRSF14;TREM2;CD44,GO_BP,blue,10
positive regulation of cysteine-type endopeptidase activity (GO:2001056),6/62,0.0253871796539737,0.161824072990464,0,0,2.83935960591133,10.4304186612636,CASP8;AIM2;SYK;CASP1;FYN;MAP3K5,GO_BP,blue,6
negative regulation of interleukin-6 production (GO:0032715),4/31,0.0254474179010475,0.161824072990464,0,0,3.92113709307657,14.3950471445125,CD200R1;NLRC3;PTPN22;PTPN6,GO_BP,blue,4
negative regulation of response to DNA damage stimulus (GO:2001021),4/31,0.0254474179010475,0.161824072990464,0,0,3.92113709307657,14.3950471445125,CD74;CXCL12;CLU;CD44,GO_BP,blue,4
prostaglandin metabolic process (GO:0006693),4/31,0.0254474179010475,0.161824072990464,0,0,3.92113709307657,14.3950471445125,CD74;EDN1;CYP2S1;PTGES,GO_BP,blue,4
interleukin-12-mediated signaling pathway (GO:0035722),5/46,0.0256367370421259,0.162383144769982,0,0,3.22985957132299,11.8333299043812,IFNG;PDCD4;TYK2;LCP1;IL12RB1,GO_BP,blue,5
regulation of MAP kinase activity (GO:0043405),8/97,0.0256552181474908,0.162383144769982,0,0,2.38457115327832,8.73470390614551,EDN1;TGFB1;RGS14;CD300A;FLT3;S100A12;ADAM8;PIK3CG,GO_BP,blue,8
regulation of adaptive immune response (GO:0002819),3/18,0.0263448468039502,0.16331393590824,0,0,5.28956043956044,19.2353944489759,IL4I1;RIPK3;SKAP1,GO_BP,blue,3
base conversion or substitution editing (GO:0016553),3/18,0.0263448468039502,0.16331393590824,0,0,5.28956043956044,19.2353944489759,APOBEC3D;APOBEC3G;APOBEC3H,GO_BP,blue,3
regulation of platelet aggregation (GO:0090330),3/18,0.0263448468039502,0.16331393590824,0,0,5.28956043956044,19.2353944489759,BLK;SYK;PRKCQ,GO_BP,blue,3
regulation of single stranded viral RNA replication via double stranded DNA intermediate (GO:0045091),3/18,0.0263448468039502,0.16331393590824,0,0,5.28956043956044,19.2353944489759,APOBEC3D;APOBEC3G;APOBEC3H,GO_BP,blue,3
response to interferon-alpha (GO:0035455),3/18,0.0263448468039502,0.16331393590824,0,0,5.28956043956044,19.2353944489759,AXL;PYHIN1;LAMP3,GO_BP,blue,3
hyaluronan catabolic process (GO:0030214),3/18,0.0263448468039502,0.16331393590824,0,0,5.28956043956044,19.2353944489759,TGFB1;LYVE1;CD44,GO_BP,blue,3
positive regulation of interleukin-4 production (GO:0032753),3/18,0.0263448468039502,0.16331393590824,0,0,5.28956043956044,19.2353944489759,CD40LG;SYK;PRKCQ,GO_BP,blue,3
positive regulation of lymphocyte chemotaxis (GO:0140131),3/18,0.0263448468039502,0.16331393590824,0,0,5.28956043956044,19.2353944489759,XCL2;CXCL13;CCR2,GO_BP,blue,3
positive regulation of phosphoprotein phosphatase activity (GO:0032516),3/18,0.0263448468039502,0.16331393590824,0,0,5.28956043956044,19.2353944489759,PTPRC;CD300A;FCRL3,GO_BP,blue,3
regulation of protein localization to plasma membrane (GO:1903076),7/80,0.0269158730024408,0.166472830967151,0,0,2.542420343601,9.19094893031105,LRRC15;PRKCH;TGFB1;IFNG;TREM2;AKAP5;LDLRAP1,GO_BP,blue,7
positive regulation of Ras protein signal transduction (GO:0046579),6/63,0.0272240089151553,0.16799508007097,0,0,2.78940108892922,10.0520420104412,GPR174;P2RY10;GPR65;GPR55;PIK3CG;GPR18,GO_BP,blue,6
positive regulation of neuron death (GO:1901216),5/47,0.0278552353831761,0.171499619665964,0,0,3.15279417552145,11.2893183877704,IFNG;ITGB2;FYN;CLU;MAP3K5,GO_BP,blue,5
regulation of chemotaxis (GO:0050920),4/32,0.0282669439893149,0.173246948567995,0,0,3.78089998034977,13.482924554679,TGFB1;P2RX4;CXCR4;TREM2,GO_BP,blue,4
positive regulation of interleukin-10 production (GO:0032733),4/32,0.0282669439893149,0.173246948567995,0,0,3.78089998034977,13.482924554679,CD40LG;SYK;TIGIT;CD34,GO_BP,blue,4
activation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0006919),7/81,0.0285693412054007,0.173919877135799,0,0,2.50793265641332,8.91675673908834,CASP8;CASP5;LCK;TNFSF15;CASP1;FASLG;NLRP1,GO_BP,blue,7
phospholipase C-activating G protein-coupled receptor signaling pathway (GO:0007200),7/81,0.0285693412054007,0.173919877135799,0,0,2.50793265641332,8.91675673908834,GPR174;CX3CR1;P2RY10;GPR65;GPR55;FPR3;GPR18,GO_BP,blue,7
positive regulation of tumor necrosis factor superfamily cytokine production (GO:1903557),7/81,0.0285693412054007,0.173919877135799,0,0,2.50793265641332,8.91675673908834,CD2;PTPRC;SYK;IFNG;ADAM8;CLU;CCR2,GO_BP,blue,7
positive regulation of multicellular organismal process (GO:0051240),20/345,0.0291850854093826,0.177269947026945,0,0,1.63964080926106,5.7946504420284,ITK;PRKCH;TGFB1;BTN3A1;SYK;TXK;TGFB1I1;CRTAM;CXCR4;PIK3CD;TREM2;CLEC9A;ETV4;PIK3CG;SYDE1;TMIGD2;IFNG;UCP2;ITGAX;CCR2,GO_BP,blue,20
cellular response to interleukin-12 (GO:0071349),5/48,0.0301918760256475,0.1802262685361,0,0,3.07931321673394,10.7781579147163,IFNG;PDCD4;TYK2;LCP1;IL12RB1,GO_BP,blue,5
substrate adhesion-dependent cell spreading (GO:0034446),5/48,0.0301918760256475,0.1802262685361,0,0,3.07931321673394,10.7781579147163,ITGA4;PARVG;LAMB4;LPXN;ITGB7,GO_BP,blue,5
positive regulation of endocytosis (GO:0045807),5/48,0.0301918760256475,0.1802262685361,0,0,3.07931321673394,10.7781579147163,AXL;STAP1;TREM2;LDLRAP1;CLU,GO_BP,blue,5
cellular response to interleukin-7 (GO:0098761),3/19,0.0304548583076216,0.1802262685361,0,0,4.95870535714286,17.3133680880594,IL2RG;IL7R;JAK3,GO_BP,blue,3
response to ATP (GO:0033198),3/19,0.0304548583076216,0.1802262685361,0,0,4.95870535714286,17.3133680880594,P2RX7;P2RX4;RYR3,GO_BP,blue,3
interleukin-7-mediated signaling pathway (GO:0038111),3/19,0.0304548583076216,0.1802262685361,0,0,4.95870535714286,17.3133680880594,IL2RG;IL7R;JAK3,GO_BP,blue,3
myeloid cell activation involved in immune response (GO:0002275),3/19,0.0304548583076216,0.1802262685361,0,0,4.95870535714286,17.3133680880594,SYK;IFNG;DOCK2,GO_BP,blue,3
negative regulation of cytokine production involved in inflammatory response (GO:1900016),3/19,0.0304548583076216,0.1802262685361,0,0,4.95870535714286,17.3133680880594,PDCD4;NLRC3;TREM2,GO_BP,blue,3
positive regulation of macrophage migration (GO:1905523),3/19,0.0304548583076216,0.1802262685361,0,0,4.95870535714286,17.3133680880594,CSF1R;P2RX4;TREM2,GO_BP,blue,3
positive regulation of neutrophil chemotaxis (GO:0090023),3/19,0.0304548583076216,0.1802262685361,0,0,4.95870535714286,17.3133680880594,CD74;RIPOR2;RAC2,GO_BP,blue,3
prostaglandin biosynthetic process (GO:0001516),3/19,0.0304548583076216,0.1802262685361,0,0,4.95870535714286,17.3133680880594,CD74;EDN1;PTGES,GO_BP,blue,3
neutrophil degranulation (GO:0043312),26/481,0.0310637539909918,0.1802262685361,0,0,1.52494427558257,5.29416978994527,ARHGAP9;FCN1;ITGB2;ITGAL;STK10;ADGRE5;CLEC5A;ITGAX;TBC1D10C;S100A12;ATG7;CD300A;ATP6AP2;HLA-B;IRAG2;LYZ;ARHGAP45;CHIT1;PFKL;PTPRC;RAP2B;BIN2;ADAM8;PTPN6;DOCK2;CD44,GO_BP,blue,26
cellular response to type I interferon (GO:0071357),6/65,0.0311563458416257,0.1802262685361,0,0,2.69456458211572,9.34673676934335,RNASEL;SP100;STAT1;STAT2;HLA-B;TYK2,GO_BP,blue,6
type I interferon signaling pathway (GO:0060337),6/65,0.0311563458416257,0.1802262685361,0,0,2.69456458211572,9.34673676934335,RNASEL;SP100;STAT1;STAT2;HLA-B;TYK2,GO_BP,blue,6
apoptotic cell clearance (GO:0043277),4/33,0.031264872558452,0.1802262685361,0,0,3.65033439263862,12.6493581010926,FCN1;RAC2;RHOH;TREM2,GO_BP,blue,4
protein autophosphorylation (GO:0046777),11/159,0.0319513178036103,0.1802262685361,0,0,1.97382695195195,6.7969557200203,MAP4K1;STK10;CSF1R;ITK;RIPK3;FLT3;TXK;CAD;PASK;CLK2;CAMKK2,GO_BP,blue,11
cellular response to mechanical stimulus (GO:0071260),5/49,0.0326481854610494,0.181609721589287,0,0,3.00917230152767,10.2972853047808,CASP8;CASP5;CASP1;TLR8;TLR7,GO_BP,blue,5
regulation of interferon-beta production (GO:0032648),5/49,0.0326481854610494,0.181609721589287,0,0,3.00917230152767,10.2972853047808,DHX58;TLR8;TLR7;NLRC3;LILRB1,GO_BP,blue,5
positive regulation of cell death (GO:0010942),6/66,0.0332543555193457,0.184602559635057,0,0,2.64951724137931,9.01781614506916,RARG;IFNG;ITGB2;FYN;CLU;MAP3K5,GO_BP,blue,6
positive regulation of interleukin-12 production (GO:0032735),4/34,0.0344425244484222,0.19041795659342,0,0,3.52847317744154,11.885532411054,CD40LG;SYK;IFNG;LTB,GO_BP,blue,4
positive regulation of release of sequestered calcium ion into cytosol (GO:0051281),4/34,0.0344425244484222,0.19041795659342,0,0,3.52847317744154,11.885532411054,CXCL10;CXCL9;CXCL11;CD19,GO_BP,blue,4
regulation of acute inflammatory response (GO:0002673),3/20,0.034881038065384,0.190509540562752,0,0,4.66677440206852,15.6608171633107,PLA2G2D;ADAM8;PTGES,GO_BP,blue,3
cellular response to interferon-beta (GO:0035458),3/20,0.034881038065384,0.190509540562752,0,0,4.66677440206852,15.6608171633107,AIM2;STAT1;PYHIN1,GO_BP,blue,3
lipopolysaccharide-mediated signaling pathway (GO:0031663),3/20,0.034881038065384,0.190509540562752,0,0,4.66677440206852,15.6608171633107,TGFB1;CD6;PTPN22,GO_BP,blue,3
mesoderm development (GO:0007498),3/20,0.034881038065384,0.190509540562752,0,0,4.66677440206852,15.6608171633107,BTK;IKZF1;IKZF3,GO_BP,blue,3
natural killer cell mediated immunity (GO:0002228),3/20,0.034881038065384,0.190509540562752,0,0,4.66677440206852,15.6608171633107,KLRK1;GZMB;SLAMF7,GO_BP,blue,3
positive regulation of interferon-alpha production (GO:0032727),3/20,0.034881038065384,0.190509540562752,0,0,4.66677440206852,15.6608171633107,STAT1;TLR8;TLR7,GO_BP,blue,3
neutrophil mediated immunity (GO:0002446),26/488,0.0360823616594421,0.196304969089438,0,0,1.50128028000368,4.98717972220999,ARHGAP9;FCN1;ITGB2;ITGAL;STK10;ADGRE5;CLEC5A;ITGAX;TBC1D10C;S100A12;ATG7;CD300A;ATP6AP2;HLA-B;IRAG2;LYZ;ARHGAP45;CHIT1;PFKL;PTPRC;RAP2B;BIN2;ADAM8;PTPN6;DOCK2;CD44,GO_BP,blue,26
regulation of angiogenesis (GO:0045765),13/203,0.0360870707296198,0.196304969089438,0,0,1.81811317988565,6.03944586739901,SP100;PRKCB;STAT1;PIK3CD;FASLG;CXCL13;HK2;CXCL10;TMIGD2;ADM2;ITGAX;CD34;CCR2,GO_BP,blue,13
positive regulation of DNA-binding transcription factor activity (GO:0051091),15/246,0.0372628434132928,0.202294674963147,0,0,1.72658347239353,5.68004283376908,CX3CR1;EDN1;PRKCH;RIPK3;PRKCB;CLU;IKBKB;CD40LG;AIM2;BTK;S100A12;PRKCQ;ADAM8;CARD16;CARD11,GO_BP,blue,15
cellular response to amyloid-beta (GO:1904646),4/35,0.0378007902425537,0.20425210775852,0,0,3.41447397612814,11.1838543475148,VCAM1;ITGA4;TREM2;FYN,GO_BP,blue,4
regulation of JUN kinase activity (GO:0043506),4/35,0.0378007902425537,0.20425210775852,0,0,3.41447397612814,11.1838543475148,EDN1;PDCD4;PTPN22;MAP3K5,GO_BP,blue,4
regulation of neuron death (GO:1901214),7/86,0.037866389992638,0.20425210775852,0,0,2.34859081054619,7.68856146326679,CD200R1;IFNG;ITGB2;FYN;CLU;CD34;MAP3K5,GO_BP,blue,7
blood circulation (GO:0008015),5/51,0.0379249945376653,0.20425210775852,0,0,2.87803928614205,9.41736156575283,CXCL10;HTR7;CXCL12;STAT1;XCL2,GO_BP,blue,5
